01-01 10:39:11.373   390   390 I auditd  : type=2000 audit(0.0:1): initialized
01-01 10:39:11.373   390   390 W auditd  : type=2000 audit(0.0:1): initialized
01-01 10:39:13.127     1     1 I auditd  : type=1400 audit(0.0:3): avc: denied { module_request } for comm="init" kmod="fs-cpuset" scontext=u:r:init:s0 tcontext=u:r:kernel:s0 tclass=system permissive=1
01-01 10:39:13.127     1     1 I init    : type=1400 audit(0.0:3): avc: denied { module_request } for kmod="fs-cpuset" scontext=u:r:init:s0 tcontext=u:r:kernel:s0 tclass=system permissive=1
01-01 10:39:13.903     0     0 I [    2.889493 / 01-01 10:39:13.619][3] init: [libfs_mgr]e2fsck returned status 0x800
01-01 10:39:13.903     0     0 I [    2.889671 / 01-01 10:39:13.619][3] init: [libfs_mgr]__mount(source=/dev/block/bootdevice/by-name/cache,target=/cache,type=ext4)=-1: Device or resource busy
01-01 10:39:13.903     0     0 I [    2.889708 / 01-01 10:39:13.619][3] init: [libfs_mgr]Running /system/bin/e2fsck on /dev/block/bootdevice/by-name/cache
01-01 10:39:13.904     0     0 I [    2.906276 / 01-01 10:39:13.635][3] init: [libfs_mgr]e2fsck returned status 0x800
01-01 10:39:13.904     0     0 I [    2.906451 / 01-01 10:39:13.635][3] init: [libfs_mgr]__mount(source=/dev/block/bootdevice/by-name/cache,target=/cache,type=ext4)=-1: Device or resource busy
01-01 10:39:13.904     0     0 E [    2.906556 / 01-01 10:39:13.635][3] init: [libfs_mgr]Failed to mount an un-encryptable or wiped partition on /dev/block/bootdevice/by-name/cache at /cache options: inline_xattr: Device or resource busy
01-01 10:39:13.904     0     0 I [    2.906692 / 01-01 10:39:13.639][3] init: [libfs_mgr]superblock s_max_mnt_count:65535,/dev/block/bootdevice/by-name/persist
01-01 10:39:13.904     0     0 I [    2.906720 / 01-01 10:39:13.639][3] init: [libfs_mgr]Filesystem on /dev/block/bootdevice/by-name/persist was not cleanly shutdown; state flags: 0x1, incompat feature flags: 0x46
01-01 10:39:13.904     0     0 I [    2.906876 / 01-01 10:39:13.639][3] init: [libfs_mgr]check_fs(): mount(/dev/block/bootdevice/by-name/persist,/persist,ext4)=-1: Device or resource busy
01-01 10:39:13.904     0     0 I [    2.906908 / 01-01 10:39:13.639][3] init: [libfs_mgr]Running /system/bin/e2fsck on /dev/block/bootdevice/by-name/persist
01-01 10:39:13.904     0     0 I [    2.927221 / 01-01 10:39:13.659][3] init: [libfs_mgr]e2fsck returned status 0x800
01-01 10:39:13.904     0     0 I [    2.927406 / 01-01 10:39:13.659][3] init: [libfs_mgr]__mount(source=/dev/block/bootdevice/by-name/persist,target=/persist,type=ext4)=-1: Device or resource busy
01-01 10:39:13.904     0     0 I [    2.927445 / 01-01 10:39:13.659][3] init: [libfs_mgr]Running /system/bin/e2fsck on /dev/block/bootdevice/by-name/persist
01-01 10:39:13.904     0     0 I [    2.943995 / 01-01 10:39:13.675][1] init: [libfs_mgr]e2fsck returned status 0x800
01-01 10:39:13.904     0     0 I [    2.944171 / 01-01 10:39:13.675][1] init: [libfs_mgr]__mount(source=/dev/block/bootdevice/by-name/persist,target=/persist,type=ext4)=-1: Device or resource busy
01-01 10:39:13.904     0     0 E [    2.944295 / 01-01 10:39:13.675][1] init: [libfs_mgr]Failed to mount an un-encryptable or wiped partition on /dev/block/bootdevice/by-name/persist at /persist options: barrier=1,data=ordered,nodelalloc,errors=panic: Device or resource busy
01-01 10:39:13.904     0     0 I [    2.944549 / 01-01 10:39:13.675][1] init: [libfs_mgr]__mount(source=/dev/block/bootdevice/by-name/modem,target=/firmware,type=vfat)=-1: Device or resource busy
01-01 10:39:13.904     0     0 I [    2.944654 / 01-01 10:39:13.675][1] init: [libfs_mgr]__mount(source=/dev/block/bootdevice/by-name/modem,target=/firmware,type=vfat)=-1: Device or resource busy
01-01 10:39:13.904     0     0 E [    2.945827 / 01-01 10:39:13.675][1] init: [libfs_mgr]Failed to mount an un-encryptable or wiped partition on /dev/block/bootdevice/by-name/modem at /firmware options: shortname=lower,uid=1000,gid=1026,dmask=227,fmask=337,context=u:object_r:firmware_file:s0: Device or resource busy
01-01 10:39:13.904     0     0 I [    2.945914 / 01-01 10:39:13.675][1] init: [libfs_mgr]superblock s_max_mnt_count:65535,/dev/block/bootdevice/by-name/sns
01-01 10:39:13.904     0     0 I [    2.945946 / 01-01 10:39:13.675][1] init: [libfs_mgr]Filesystem on /dev/block/bootdevice/by-name/sns was not cleanly shutdown; state flags: 0x1, incompat feature flags: 0x46
01-01 10:39:13.904     0     0 I [    2.946105 / 01-01 10:39:13.675][1] init: [libfs_mgr]check_fs(): mount(/dev/block/bootdevice/by-name/sns,/sns,ext4)=-1: Device or resource busy
01-01 10:39:13.904     0     0 I [    2.946135 / 01-01 10:39:13.675][1] init: [libfs_mgr]Running /system/bin/e2fsck on /dev/block/bootdevice/by-name/sns
01-01 10:39:13.904     0     0 I [    2.962919 / 01-01 10:39:13.695][1] init: [libfs_mgr]e2fsck returned status 0x800
01-01 10:39:13.904     0     0 I [    2.963100 / 01-01 10:39:13.695][1] init: [libfs_mgr]__mount(source=/dev/block/bootdevice/by-name/sns,target=/sns,type=ext4)=-1: Device or resource busy
01-01 10:39:13.904     0     0 I [    2.963137 / 01-01 10:39:13.695][1] init: [libfs_mgr]Running /system/bin/e2fsck on /dev/block/bootdevice/by-name/sns
01-01 10:39:13.905     0     0 I [    2.979608 / 01-01 10:39:13.711][1] init: [libfs_mgr]e2fsck returned status 0x800
01-01 10:39:13.905     0     0 I [    2.979793 / 01-01 10:39:13.711][1] init: [libfs_mgr]__mount(source=/dev/block/bootdevice/by-name/sns,target=/sns,type=ext4)=-1: Device or resource busy
01-01 10:39:13.905     0     0 E [    2.979898 / 01-01 10:39:13.711][1] init: [libfs_mgr]Failed to mount an un-encryptable or wiped partition on /dev/block/bootdevice/by-name/sns at /sns options: barrier=1,noauto_da_alloc,errors=continue: Device or resource busy
01-01 10:39:13.905     0     0 I [    2.979982 / 01-01 10:39:13.711][1] init: [libfs_mgr]superblock s_max_mnt_count:65535,/dev/block/bootdevice/by-name/drm
